,Year,Total,APPLICATION_TYPE,STATUS,ADDRESS,Postcode,_id,Neighbourhood,Rent
371,2015,"1,208",CD,Closed,199 RICHMOND ST,M5V,129584,,
381,2016,"1,240",CD,Closed,199 RICHMOND ST,M5V,129585,,
373,2015,"1,208",CD,Closed,181 RICHMOND ST,M5V,129589,,
380,2016,"1,240",CD,Closed,181 RICHMOND ST,M5V,129590,,
811,2016,"1,240",CD,Closed,68 SHUTER ST,M5B,129596,,
448,2017,"1,308",CD,Closed,175 DUNDAS ST,M5A,129627,,
441,2017,"1,308",CD,Closed,191 DUNDAS ST,M5A,129630,,
9,2016,"1,240",CD,Closed,223 ST CLAIR AVE,M4V,129652,,
10,2016,"1,240",CD,Closed,219 ST CLAIR AVE,M4V,129657,,
401,2018,"1,370",CD,Under Review ,27 BATHURST ST,M5V,129664,,
416,2018,"1,370",CD,Under Review ,27 BATHURST ST,M5V,129666,,
815,2016,"1,240",CD,Closed,66 SHUTER ST,M5B,129673,,
814,2016,"1,240",CD,Closed,64 SHUTER ST,M5B,129678,,
170,2015,"1,208",CD,Draft Plan Approved,15 BEVERLEY ST,M5T,129689,,
171,2015,"1,208",CD,Draft Plan Approved,17 BEVERLEY ST,M5T,129693,,
424,2013,"1,138",CD,Draft Plan Approved,284 SHERBOURNE ST,M5A,129712,,
411,2018,"1,370",CD,Under Review ,49 NIAGARA ST,M5V,129730,,
168,2015,"1,208",CD,Draft Plan Approved,19 BEVERLEY ST,M5T,129750,,
169,2015,"1,208",CD,Draft Plan Approved,21 BEVERLEY ST,M5T,129755,,
438,2016,"1,240",CD,Closed,108 SHUTER ST,M5A,129803,,
437,2016,"1,240",CD,Closed,102 SHUTER ST,M5A,129807,,
11,2016,"1,240",CD,Closed,215 ST CLAIR AVE,M4V,129824,,
557,2012,"1,108",CD,Application Received,783 BATHURST ST,M5S,129872,,
558,2012,"1,108",CD,Closed,783 BATHURST ST,M5S,129873,,
402,2018,"1,370",CD,Under Review ,49 NIAGARA ST,M5V,129906,,
403,2018,"1,370",CD,Under Review ,33-45 NIAGARA ST,M5V,129908,,
406,2018,"1,370",CD,Under Review ,33-45 NIAGARA ST,M5V,129909,,
407,2018,"1,370",CD,Under Review ,578 FRONT ST,M5V,129918,,
409,2018,"1,370",CD,Under Review ,578 FRONT ST,M5V,129920,,
172,2015,"1,208",CD,Draft Plan Approved,27 BEVERLEY ST,M5T,129938,,
552,2018,"1,370",CD,Draft Plan Approved,875 QUEEN ST,M4M,129959,,
370,2015,"1,208",CD,Closed,431 RICHMOND ST,M5V,129974,,
351,2012,"1,108",CD,Closed,32 CAMDEN ST,M5V,129977,,
386,2016,"1,240",CD,Closed,426 ADELAIDE ST,M5V,129987,,
174,2016,"1,240",CD,Closed,20 VANAULEY ST,M5T,130001,,
281,2017,"1,308",CD,Closed,70 COLBORNE ST,M5E,130110,,
33,2015,"1,208",CD,Closed,21 GRENVILLE ST,M4Y,130138,,
158,2010,"1,048",CD,Closed,56 LIPPINCOTT ST,M5T,130148,,
359,2013,"1,138",CD,Closed,328 ADELAIDE ST,M5V,130192,,
360,2013,"1,138",CD,Closed,328 ADELAIDE ST,M5V,130193,,
183,2019,,CD,Under Review ,60 MC CAUL ST,M5T,130209,,
185,2019,,CD,Under Review ,52 MC CAUL ST,M5T,130211,,
376,2016,"1,240",CD,Closed,428 ADELAIDE ST,M5V,130243,,
375,2016,"1,240",CD,Closed,430 ADELAIDE ST,M5V,130247,,
377,2016,"1,240",CD,Closed,432 ADELAIDE ST,M5V,130252,,
163,2013,"1,138",CD,Closed,222 SPADINA AVE,M5T,130288,,
467,2019,,CD,Under Review ,143 LAKE SHORE BLVD,M5A,130304,,
466,2019,,CD,Under Review ,143 LAKE SHORE BLVD,M5A,130305,,
397,2017,"1,308",CD,Draft Plan Approved,614 RICHMOND ST,M5V,130362,,
810,2015,"1,208",CD,Closed,155 DUNDAS ST,M5B,130390,,
160,2011,"1,073",CD,Closed,207 BEVERLEY ST,M5T,130395,,
548,2017,"1,308",CD,Draft Plan Approved,13-17 CUMMINGS ST,M4M,130412,,
48,2017,"1,308",CD,Draft Plan Approved,411 CHURCH ST,M4Y,130454,,
561,2015,"1,208",CD,Closed,990 BAY ST,M5S,130468,,
560,2015,"1,208",CD,Closed,984 BAY ST,M5S,130473,,
445,2017,"1,308",CD,Draft Plan Approved,381 SHUTER ST,M5A,130486,,
444,2017,"1,308",CD,Draft Plan Approved,383 SHUTER ST,M5A,130488,,
443,2017,"1,308",CD,Draft Plan Approved,385 SHUTER ST,M5A,130491,,
37,2015,"1,208",CD,Closed,14 HAYDEN ST,M4Y,130505,,
559,2014,"1,170",CD,Closed,151 ROBERT ST,M5S,130533,,
554,2018,"1,370",CD,Draft Plan Approved,887 QUEEN ST,M4M,130577,,
538,2012,"1,108",CD,Closed,999 DUNDAS ST,M4M,130671,,
179,2018,"1,370",CD,Draft Plan Approved,591 DUNDAS ST,M5T,130715,,
542,2013,"1,138",CD,Closed,55 HOWIE AVE,M4M,130749,,
182,2019,,CD,Under Review ,591 DUNDAS ST,M5T,130771,,
555,2019,,CD,Under Review ,772 QUEEN ST,M4M,130783,,
449,2017,"1,308",CD,Draft Plan Approved,379 SHUTER ST,M5A,130787,,
569,2016,"1,240",CD,Closed,11 ST THOMAS ST,M5S,130840,,
571,2016,"1,240",CD,Closed,9 SULTAN ST,M5S,130845,,
570,2016,"1,240",CD,Closed,7 SULTAN ST,M5S,130850,,
435,2015,"1,208",CD,Closed,368 DUNDAS ST,M5A,130857,,
434,2015,"1,208",CD,Closed,366 DUNDAS ST,M5A,130858,,
436,2015,"1,208",CD,Closed,362 DUNDAS ST,M5A,130859,,
433,2015,"1,208",CD,Closed,360 DUNDAS ST,M5A,130860,,
432,2015,"1,208",CD,Closed,358 DUNDAS ST,M5A,130861,,
39,2016,"1,240",CD,Closed,61 HAYDEN ST,M4Y,130901,,
47,2017,"1,308",CD,Closed,61 HAYDEN ST,M4Y,130903,,
446,2017,"1,308",CD,Closed,261 QUEENS QUAY  ,M5A,130959,,
447,2017,"1,308",CD,Draft Plan Approved,261 QUEENS QUAY  ,M5A,130961,,
53,2018,"1,370",CD,Draft Plan Approved,7 GLOUCESTER ST,M4Y,130984,,
54,2018,"1,370",CD,Closed,31 DUNDONALD ST,M4Y,131024,,
64,2019,,CD,Under Review ,31 DUNDONALD ST,M4Y,131025,,
52,2018,"1,370",CD,Closed,33 DUNDONALD ST,M4Y,131028,,
65,2019,,CD,Under Review ,33 DUNDONALD ST,M4Y,131029,,
817,2016,"1,240",CD,Closed,355 CHURCH ST,M5B,131089,,
49,2018,"1,370",CD,Draft Plan Approved,9 GLOUCESTER ST,M4Y,131126,,
50,2018,"1,370",CD,Draft Plan Approved,11 GLOUCESTER ST,M4Y,131127,,
51,2018,"1,370",CD,Closed,46 WELLESLEY ST,M4Y,131271,,
66,2019,,CD,Under Review ,46 WELLESLEY ST,M4Y,131272,,
572,2016,"1,240",CD,Closed,188 LIPPINCOTT ST,M5S,131282,,
816,2016,"1,240",CD,Closed,365 CHURCH ST,M5B,131286,,
38,2016,"1,240",CD,Closed,64 CHARLES ST,M4Y,131291,,
46,2017,"1,308",CD,Closed,64 CHARLES ST,M4Y,131293,,
442,2017,"1,308",CD,Draft Plan Approved,387 SHUTER ST,M5A,131298,,
45,2017,"1,308",CD,Draft Plan Approved,17 DUNDONALD ST,M4Y,131330,,
32,2014,"1,170",CD,Closed,5 ST JOSEPH ST,M4Y,131383,,
29,2011,"1,073",CD,Closed,620 CHURCH ST,M4Y,131427,,
36,2015,"1,208",CD,Closed,42 CHARLES ST,M4Y,131443,,
57,2018,"1,370",CD,Draft Plan Approved,593 YONGE ST,M4Y,131469,,
35,2015,"1,208",CD,Closed,709 YONGE ST,M4Y,131487,,
34,2015,"1,208",CD,Closed,711 YONGE ST,M4Y,131489,,
108,2015,"1,208",CD,Closed,23 BLOOR ST,M4W,131491,Rosedale,**
551,2018,"1,370",CD,Draft Plan Approved,897 QUEEN ST,M4M,131637,,
431,2015,"1,208",CD,Closed,251 KING ST,M5A,131731,,
457,2018,"1,370",CD,Draft Plan Approved,120 PARLIAMENT ST,M5A,131736,,
458,2018,"1,370",CD,Draft Plan Approved,116 PARLIAMENT ST,M5A,131742,,
459,2018,"1,370",CD,Draft Plan Approved,114 PARLIAMENT ST,M5A,131819,,
161,2011,"1,073",CD,Closed,591 DUNDAS ST,M5T,131930,,
125,2010,"1,048",CD,Closed,1386 GERRARD ST,M4L,131955,,
544,2014,"1,170",CD,Closed,345 CARLAW AVE,M4M,131982,,
460,2018,"1,370",CD,Draft Plan Approved,112 PARLIAMENT ST,M5A,132024,,
567,2016,"1,240",CD,Closed,5 SULTAN ST,M5S,132101,,
162,2013,"1,138",CD,Closed,591 DUNDAS ST,M5T,132205,,
164,2014,"1,170",CD,Closed,591 DUNDAS ST,M5T,132207,,
556,2019,,CD,Under Review ,79 EAST DON ROADWAY  ,M4M,132306,,
539,2012,"1,108",CD,Closed,150 BROADVIEW AVE,M4M,132383,,
456,2018,"1,370",CD,Draft Plan Approved,424 ADELAIDE ST,M5A,132729,,
455,2018,"1,370",CD,Draft Plan Approved,424 ADELAIDE ST,M5A,132730,,
547,2015,"1,208",CD,Closed,1230 DUNDAS ST,M4M,132756,,
150,2019,,CD,Under Review ,104 COXWELL AVE,M4L,132834,,
148,2019,,CD,Under Review ,100 COXWELL AVE,M4L,132837,,
543,2014,"1,170",CD,Closed,42 CURZON ST,M4M,133005,,
454,2018,"1,370",CD,Draft Plan Approved,93 BERKELEY ST,M5A,133037,,
151,2019,,CD,Under Review ,98 COXWELL AVE,M4L,133058,,
152,2019,,CD,Under Review ,96 COXWELL AVE,M4L,133062,,
138,2017,"1,308",CD,Draft Plan Approved,1321 GERRARD ST,M4L,133114,,
